No	Year	Holy Tuesday	Diff Next Year	Shift Day	Total Diff	Total Year	Next Holy Tuesday
67	2090	"Tuesday, April 18, 2090"	-14	-1	-15	365	"Tuesday, April 3, 2091"
68	2091	"Tuesday, April 3, 2091"	-7	-2	-9	366	"Tuesday, March 25, 2092"
69	2092	"Tuesday, March 25, 2092"	14	-1	13	365	"Tuesday, April 7, 2093"
70	2093	"Tuesday, April 7, 2093"	-7	-1	-8	365	"Tuesday, March 30, 2094"
71	2094	"Tuesday, March 30, 2094"	21	-1	20	365	"Tuesday, April 19, 2095"
72	2095	"Tuesday, April 19, 2095"	-7	-2	-9	366	"Tuesday, April 10, 2096"
73	2096	"Tuesday, April 10, 2096"	-14	-1	-15	365	"Tuesday, March 26, 2097"
74	2097	"Tuesday, March 26, 2097"	21	-1	20	365	"Tuesday, April 15, 2098"
75	2098	"Tuesday, April 15, 2098"	-7	-1	-8	365	"Tuesday, April 7, 2099"
76	2099	"Tuesday, April 7, 2099"	-14	-1	-15	365	"Tuesday, March 23, 2100"
